time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,snow_cm,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,condition_text,condition_icon,condition_code,date
1740027600,2025-02-20 00:00,-5.4,22.3,0,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}",8.1,13.1,322,NW,1023.0,30.2,0.0,0.0,0.0,74,100,-10.6,12.9,-10.6,12.9,-5.4,22.3,-9.4,15.2,0,0,0,0,10.0,6.0,13.9,22.4,0.0,,,0,2025-02-20
1740031200,2025-02-20 01:00,-5.8,21.5,0,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}",8.5,13.7,331,NNW,1022.0,30.19,0.0,0.0,0.0,76,99,-11.3,11.7,-11.3,11.7,-5.8,21.5,-9.4,15.0,0,0,0,0,10.0,6.0,14.5,23.3,0.0,,,0,2025-02-20
1740034800,2025-02-20 02:00,-6.1,21.0,0,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}",9.4,15.1,337,NNW,1022.0,30.18,0.0,0.0,0.0,78,99,-12.0,10.4,-12.0,10.4,-6.1,21.0,-9.5,14.8,0,0,0,0,10.0,6.0,12.5,20.1,0.0,,,0,2025-02-20
1740038400,2025-02-20 03:00,-6.3,20.7,0,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}",8.1,13.0,339,NNW,1020.0,30.12,0.0,0.0,0.0,77,100,-11.7,11.0,-11.7,11.0,-6.3,20.7,-9.7,14.5,0,0,0,0,10.0,6.0,10.8,17.3,0.0,,,0,2025-02-20
1740042000,2025-02-20 04:00,-6.4,20.5,0,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}",8.9,14.4,346,NNW,1019.0,30.09,0.0,0.0,0.0,77,100,-12.2,10.1,-12.2,10.1,-6.4,20.5,-9.8,14.3,0,0,0,0,10.0,6.0,11.9,19.2,0.0,,,0,2025-02-20
1740045600,2025-02-20 05:00,-6.5,20.3,0,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}",3.8,6.1,3,N,1018.0,30.06,0.0,0.0,0.0,76,100,-9.6,14.8,-9.6,14.8,-6.5,20.3,-9.9,14.1,0,0,0,0,10.0,6.0,8.3,13.4,0.0,,,0,2025-02-20
1740049200,2025-02-20 06:00,-6.6,20.2,0,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/night/122.png', 'code': 1009}",3.4,5.4,16,NNE,1018.0,30.05,0.0,0.0,0.0,76,100,-9.3,15.3,-9.3,15.3,-6.6,20.2,-10.2,13.7,0,0,0,0,10.0,6.0,7.9,12.7,0.0,,,0,2025-02-20
1740052800,2025-02-20 07:00,-6.6,20.1,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",5.6,9.0,21,NNE,1017.0,30.04,0.0,0.0,0.0,75,100,-10.9,12.4,-10.9,12.4,-6.6,20.1,-10.3,13.5,0,0,0,0,10.0,6.0,7.8,12.5,1.0,,,0,2025-02-20
1740056400,2025-02-20 08:00,-6.6,20.1,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",7.2,11.5,15,NNE,1017.0,30.04,0.0,0.0,0.0,75,100,-11.7,11.0,-11.7,11.0,-6.6,20.1,-10.4,13.3,0,0,0,0,10.0,6.0,9.8,15.8,1.0,,,0,2025-02-20
1740060000,2025-02-20 09:00,-6.6,20.1,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",7.6,12.2,7,N,1016.0,30.01,0.0,0.0,0.0,81,100,-11.8,10.7,-11.8,10.7,-6.6,20.1,-9.4,15.2,0,0,0,0,10.0,6.0,13.0,21.0,1.0,,,0,2025-02-20
1740063600,2025-02-20 10:00,-5.3,22.4,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",7.6,12.2,354,N,1016.0,30.0,0.0,0.0,0.0,84,100,-10.3,13.4,-10.3,13.4,-5.3,22.4,-8.9,16.1,0,0,0,0,10.0,6.0,13.7,22.0,1.0,,,0,2025-02-20
1740067200,2025-02-20 11:00,-4.4,24.1,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",7.6,12.2,344,NNW,1015.0,29.98,0.0,0.0,0.0,87,100,-9.2,15.5,-9.2,15.5,-4.4,24.1,-8.3,17.0,0,0,0,0,10.0,6.0,16.1,25.8,1.0,,,0,2025-02-20
1740070800,2025-02-20 12:00,-2.3,27.9,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",8.9,14.4,346,NNW,1014.0,29.94,0.0,0.0,0.0,88,100,-7.1,19.3,-7.1,19.3,-2.3,27.9,-7.6,18.2,0,0,0,0,10.0,6.0,17.9,28.8,1.0,,,0,2025-02-20
