time,date,temp_c,is_day,wind_mph,wind_degree,wind_dir,pressure_mb,precip_mm,snow_cm,humidity,cloud,feelslike_c,windchill_c,heatindex_c,dewpoint_c,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_miles,gust_mph,uv
2024-10-25 22:00:00,2024-10-25,11.6,0,8.7,195,SSW,1022.0,0.0,0.0,48,58,9.7,9.7,11.6,3.4,0,0,0,0,6.0,12.4,0.0
2024-10-25 21:00:00,2024-10-25,14.4,0,9.6,187,S,1022.0,0.0,0.0,52,63,13.3,13.3,14.4,4.7,0,0,0,0,6.0,13.9,0.0
2024-10-25 20:00:00,2024-10-25,14.3,0,10.3,166,SSE,1022.0,0.0,0.0,54,30,13.2,13.2,14.3,5.2,0,0,0,0,6.0,14.2,0.0
2024-10-25 19:00:00,2024-10-25,14.3,0,9.6,162,SSE,1023.0,0.0,0.0,51,15,13.3,13.3,14.3,3.9,0,0,0,0,6.0,12.8,0.0
2024-10-25 18:00:00,2024-10-25,14.3,1,8.3,162,SSE,1023.0,0.0,0.0,43,2,13.5,13.5,14.3,1.7,0,0,0,0,6.0,10.9,4.0
2024-10-25 17:00:00,2024-10-25,14.7,1,7.8,170,S,1023.0,0.0,0.0,36,3,14.3,14.3,14.7,0.1,0,0,0,0,6.0,9.6,4.0
2024-10-25 16:00:00,2024-10-25,15.3,1,7.4,173,S,1023.0,0.0,0.0,32,35,15.3,15.3,15.3,-1.1,0,0,0,0,6.0,8.5,5.0
2024-10-25 15:00:00,2024-10-25,15.5,1,6.9,178,S,1023.0,0.0,0.0,30,7,15.5,15.5,15.5,-1.8,0,0,0,0,6.0,8.0,5.0
2024-10-25 14:00:00,2024-10-25,15.3,1,7.2,181,S,1020.0,0.0,0.0,41,0,15.3,15.3,15.3,3.1,0,0,0,0,6.0,8.2,5.0
2024-10-25 13:00:00,2024-10-25,15.2,1,5.8,188,S,1020.0,0.0,0.0,44,0,15.1,15.1,15.2,3.1,0,0,0,0,6.0,6.7,5.0
2024-10-25 12:00:00,2024-10-25,14.1,1,2.7,198,SSW,1021.0,0.0,0.0,47,0,13.9,13.9,14.1,3.1,0,0,0,0,6.0,3.1,4.0
2024-10-25 11:00:00,2024-10-25,12.7,1,0.4,44,NE,1022.0,0.0,0.0,52,0,12.4,12.4,12.7,3.1,0,0,0,0,6.0,0.5,4.0
2024-10-25 23:00:00,2024-10-25,12.9,0,8.1,199,SSW,1019.0,0.0,0.0,63,0,11.5,11.5,12.9,2.2,0,0,0,0,6.0,11.5,0.0
2024-10-25 09:00:00,2024-10-25,9.5,1,4.0,15,NNE,1022.0,0.0,0.0,60,12,8.1,8.1,9.5,1.9,0,0,0,0,6.0,5.1,3.0
2024-10-25 08:00:00,2024-10-25,7.9,1,4.9,11,NNE,1021.0,0.0,0.0,67,24,5.9,5.9,7.9,0.8,0,0,0,0,6.0,6.8,3.0
2024-10-25 07:00:00,2024-10-25,6.4,0,5.4,10,N,1021.0,0.0,0.0,68,26,3.7,3.7,6.4,0.8,0,0,0,0,6.0,7.5,0.0
2024-10-25 06:00:00,2024-10-25,6.4,0,5.8,14,NNE,1021.0,0.0,0.0,68,27,3.7,3.7,6.4,0.9,0,0,0,0,6.0,8.1,0.0
2024-10-25 05:00:00,2024-10-25,6.5,0,6.0,14,NNE,1020.0,0.0,0.0,69,31,3.7,3.7,6.5,1.0,0,0,0,0,6.0,8.5,0.0
