time,date,temp_c,is_day,wind_mph,wind_degree,wind_dir,pressure_mb,precip_mm,snow_cm,humidity,cloud,feelslike_c,windchill_c,heatindex_c,dewpoint_c,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_miles,gust_mph,uv,open,high,low,close,volume
2025-01-22 14:00:00,2025-01-22,-5.5,1,8.3,336,NNW,1033.0,0.0,0.0,38,0,-10.4,-10.4,-5.5,-17.4,0,0,0,0,6.0,9.6,2.0,224.32,224.33,224.18,224.26,20214
2025-01-22 15:00:00,2025-01-22,-4.8,1,7.8,329,NNW,1033.0,0.0,0.0,37,0,-9.4,-9.4,-4.8,-17.0,0,0,0,0,6.0,9.3,2.0,222.735,223.26,222.5,223.22,295326
2025-01-22 16:00:00,2025-01-22,-4.3,1,8.1,326,NNW,1033.0,0.0,0.0,37,0,-8.5,-8.5,-4.3,-16.8,0,0,0,0,6.0,9.9,2.0,222.92,223.26,222.92,223.26,47
2025-01-22 18:00:00,2025-01-22,-5.6,0,5.8,335,NNW,1033.0,0.0,0.0,42,50,-8.4,-8.4,-5.6,-16.4,0,0,0,0,6.0,7.9,0.0,223.23,223.23,222.5,222.5,5
2025-01-22 13:00:00,2025-01-22,-6.3,1,7.4,330,NNW,1033.0,0.0,0.0,41,0,-11.7,-11.7,-6.3,-17.3,0,0,0,0,6.0,8.9,2.0,223.93,223.965,223.49,223.725,29422
2025-01-22 19:00:00,2025-01-22,-6.4,0,4.9,338,NNW,1033.0,0.0,0.0,45,75,-8.6,-8.6,-6.4,-16.3,0,0,0,0,6.0,6.6,0.0,222.65,222.65,222.5,222.5,67
2025-01-22 12:00:00,2025-01-22,-7.1,1,8.1,334,NNW,1034.0,0.0,0.0,44,0,-12.6,-12.6,-7.1,-17.2,0,0,0,0,6.0,9.9,2.0,223.32,223.34,222.59,222.692,38833
2025-01-22 17:00:00,2025-01-22,-4.9,1,6.9,324,NW,1032.0,0.0,0.0,36,0,-8.3,-8.3,-4.9,-16.5,0,0,0,0,6.0,8.9,2.0,223.23,223.23,223.23,223.23,4
2025-01-22 10:00:00,2025-01-22,-8.9,1,10.3,348,NNW,1034.0,0.0,0.0,52,0,-14.7,-14.7,-8.9,-17.0,0,0,0,0,6.0,13.4,2.0,221.01,221.24,220.72,220.9,43415
2025-01-22 11:00:00,2025-01-22,-7.9,1,8.9,336,NNW,1034.0,0.0,0.0,49,0,-13.5,-13.5,-7.9,-16.9,0,0,0,0,6.0,11.3,2.0,222.82,222.82,222.2101,222.24,28371
